Date;  Time; Betriebsart; Status; Zustand; ROST; Kesseltemp; Abgastemp.; Abgas. SW ; KessStellGr; Saugzug  ; Zuluftgebl; Einschub; Fuellst.:; Feuerraumt; Puffert.ob; Puffert.un; Puffer Pu.; Außentemp; Vorlauft.1sw; Vorlauft.1; Vorlauft.2sw; Vorlauft.2; KTY6_H2; KTY7_H2; Brenn.ST; Laufzeit:; Boardtemp.; Die Kesseltemp. soll sein; Heizungsraum-Temp; Heizungsraum-Feuchtigkeit; Ventilator; Zuluftklappe; Leckwassersensor; Stromstaerke; ; 
2024-11-28; 00:27:58; übergangsbetr.; Abst.Warten   2; 1; 0; 78°; 84°; 174°; 90%; 0%; 0%; 0%; 74.1%; 415°; 77°; 75°; 0%; 4°; 27°; 26°; 38°; 41°; 127°; 127°; 10962; 16778h; 42°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 0.17A; 
2024-11-28; 00:28:58; übergangsbetr.; Abst.Warten   2; 1; 0; 79°; 84°; 170°; 90%; 0%; 0%; 0%; 74.1%; 415°; 77°; 76°; 0%; 4°; 27°; 26°; 38°; 37°; 127°; 127°; 10962; 16778h; 42°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 0.30A; 
2024-11-28; 00:29:58; übergangsbetr.; Abst.Warten   2; 1; 0; 78°; 83°; 175°; 89%; 0%; 0%; 0%; 74.1%; 414°; 77°; 75°; 0%; 4°; 27°; 26°; 38°; 38°; 127°; 127°; 10962; 16778h; 42°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 0.21A; 
2024-11-28; 00:30:58; übergangsbetr.; Abst.Warten   2; 1; 0; 79°; 83°; 172°; 89%; 0%; 0%; 0%; 74.1%; 414°; 77°; 76°; 0%; 4°; 27°; 26°; 38°; 36°; 127°; 127°; 10962; 16778h; 42°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 0.25A; 
2024-11-28; 00:31:58; übergangsbetr.;   Brenner Aus  ; 1; 0; 80°; 82°; 170°; 88%; 0%; 0%; 0%; 74.1%; 414°; 77°; 76°; 0%; 4°; 27°; 28°; 38°; 36°; 127°; 127°; 10962; 16778h; 42°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.28A; 
2024-11-28; 00:32:58; übergangsbetr.;   Brenner Aus  ; 1; 0; 79°; 82°; 173°; 88%; 0%; 0%; 0%; 74.1%; 414°; 77°; 76°; 0%; 4°; 27°; 26°; 38°; 36°; 127°; 127°; 10962; 16778h; 42°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.28A; 
2024-11-28; 00:33:58; übergangsbetr.;   Brenner Aus  ; 1; 0; 78°; 81°; 177°; 88%; 0%; 0%; 0%; 74.1%; 414°; 77°; 75°; 0%; 4°; 27°; 26°; 38°; 36°; 127°; 127°; 10962; 16778h; 42°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.28A; 
2024-11-28; 00:34:58; übergangsbetr.;   Brenner Aus  ; 1; 0; 79°; 81°; 174°; 88%; 0%; 0%; 0%; 74.1%; 413°; 77°; 75°; 0%; 4°; 27°; 26°; 38°; 36°; 127°; 127°; 10962; 16778h; 42°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.25A; 
2024-11-28; 00:35:58; übergangsbetr.;   Brenner Aus  ; 1; 0; 79°; 80°; 175°; 87%; 0%; 0%; 0%; 74.1%; 413°; 76°; 76°; 0%; 4°; 27°; 26°; 38°; 36°; 127°; 127°; 10962; 16778h; 42°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.23A; 
2024-11-28; 00:36:58; übergangsbetr.;   Brenner Aus  ; 1; 0; 79°; 80°; 175°; 87%; 0%; 0%; 0%; 74.1%; 413°; 76°; 75°; 0%; 4°; 27°; 26°; 38°; 36°; 127°; 127°; 10962; 16778h; 42°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.25A; 
