Date;  Time; Betriebsart; Status; Zustand; ROST; Kesseltemp; Abgastemp.; Abgas. SW ; KessStellGr; Saugzug  ; Zuluftgebl; Einschub; Fuellst.:; Feuerraumt; Puffert.ob; Puffert.un; Puffer Pu.; Außentemp; Vorlauft.1sw; Vorlauft.1; Vorlauft.2sw; Vorlauft.2; KTY6_H2; KTY7_H2; Brenn.ST; Laufzeit:; Boardtemp.; Die Kesseltemp. soll sein; Heizungsraum-Temp; Heizungsraum-Feuchtigkeit; Ventilator; Zuluftklappe; Leckwassersensor; Stromstaerke; ; 
2024-12-14; 00:40:35; übergangsbetr.;   Abreinigen   ; 1; 0; 76°; 131°; 181°; 100%; 100%; 100%; 0%; 86.2%; 422°; 72°; 26°; 45%; -1°; 30°; 30°; 41°; 42°; 127°; 127°; 10990; 16824h; 38°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 1.34A; 
2024-12-14; 00:41:35; übergangsbetr.;   Abreinigen   ; 1; 0; 76°; 124°; 183°; 100%; 100%; 100%; 0%; 86.2%; 422°; 72°; 26°; 43%; -1°; 30°; 29°; 41°; 42°; 127°; 127°; 10990; 16824h; 38°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 1.36A; 
2024-12-14; 00:42:35; übergangsbetr.;   Abreinigen   ; 1; 0; 76°; 115°; 185°; 100%; 100%; 100%; 0%; 86.2%; 422°; 72°; 26°; 41%; -1°; 30°; 29°; 41°; 42°; 127°; 127°; 10990; 16824h; 38°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 1.40A; 
2024-12-14; 00:43:35; übergangsbetr.;    Heizen      ; 1; 0; 76°; 108°; 186°; 100%; 39%; 65%; 95%; 86.1%; 421°; 72°; 26°; 40%; -1°; 30°; 29°; 41°; 42°; 127°; 127°; 10990; 16824h; 38°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 3.14A; 
2024-12-14; 00:44:35; übergangsbetr.;    Heizen      ; 1; 0; 76°; 106°; 186°; 100%; 39%; 65%; 95%; 85.9%; 420°; 72°; 26°; 40%; -1°; 30°; 29°; 41°; 42°; 127°; 127°; 10990; 16824h; 38°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 2.55A; 
2024-12-14; 00:45:35; übergangsbetr.;    Heizen      ; 1; 0; 76°; 115°; 182°; 97%; 37%; 63%; 92%; 85.8%; 421°; 72°; 26°; 49%; -1°; 30°; 29°; 41°; 42°; 127°; 127°; 10990; 16824h; 39°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 2.18A; 
2024-12-14; 00:46:35; übergangsbetr.;    Heizen      ; 1; 0; 76°; 128°; 183°; 99%; 38%; 64%; 94%; 85.6%; 421°; 72°; 26°; 48%; -1°; 30°; 29°; 41°; 42°; 127°; 127°; 10990; 16824h; 39°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 2.99A; 
2024-12-14; 00:47:35; übergangsbetr.;    Heizen      ; 1; 0; 77°; 138°; 181°; 99%; 38%; 64%; 93%; 85.5%; 422°; 74°; 26°; 52%; -1°; 30°; 29°; 41°; 42°; 127°; 127°; 10990; 16824h; 39°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 2.35A; 
2024-12-14; 00:48:35; übergangsbetr.;    Heizen      ; 1; 0; 77°; 145°; 182°; 100%; 39%; 65%; 95%; 85.3%; 422°; 74°; 26°; 52%; -1°; 30°; 30°; 41°; 42°; 127°; 127°; 10990; 16824h; 39°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 2.35A; 
2024-12-14; 00:49:35; übergangsbetr.;    Heizen      ; 1; 0; 78°; 150°; 182°; 100%; 39%; 65%; 95%; 85.1%; 423°; 74°; 26°; 59%; -1°; 30°; 30°; 41°; 42°; 127°; 127°; 10990; 16824h; 39°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 2.97A; 
2024-12-14; 00:50:35; übergangsbetr.;    Heizen      ; 1; 0; 78°; 153°; 182°; 100%; 39%; 65%; 95%; 85.0%; 424°; 74°; 26°; 61%; -1°; 30°; 30°; 41°; 42°; 127°; 127°; 10990; 16824h; 39°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 1.65A; 
2024-12-14; 00:51:35; übergangsbetr.;    Heizen      ; 1; 0; 78°; 155°; 182°; 100%; 39%; 65%; 95%; 84.8%; 425°; 74°; 26°; 64%; -1°; 30°; 30°; 41°; 41°; 127°; 127°; 10990; 16824h; 39°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 3.10A; 
2024-12-14; 00:52:35; übergangsbetr.;    Heizen      ; 1; 0; 78°; 159°; 183°; 99%; 38%; 64%; 93%; 84.7%; 426°; 74°; 26°; 66%; -1°; 30°; 29°; 41°; 41°; 127°; 127°; 10990; 16824h; 40°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 2.65A; 
2024-12-14; 00:53:35; übergangsbetr.;    Heizen      ; 1; 0; 77°; 160°; 183°; 100%; 39%; 65%; 95%; 84.5%; 428°; 74°; 26°; 62%; -1°; 30°; 30°; 41°; 41°; 127°; 127°; 10990; 16824h; 40°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 3.88A; 
