Date;  Time; Betriebsart; Status; Zustand; ROST; Kesseltemp; Abgastemp.; Abgas. SW ; KessStellGr; Saugzug  ; Zuluftgebl; Einschub; Fuellst.:; Feuerraumt; Puffert.ob; Puffert.un; Puffer Pu.; Außentemp; Vorlauft.1sw; Vorlauft.1; Vorlauft.2sw; Vorlauft.2; KTY6_H2; KTY7_H2; Brenn.ST; Laufzeit:; Boardtemp.; Die Kesseltemp. soll sein; Heizungsraum-Temp; Heizungsraum-Feuchtigkeit; Ventilator; Zuluftklappe; Leckwassersensor; Stromstaerke; ; 
2024-05-24; 15:25:57; übergangsbetr.;    Heizen      ; 1; 0; 76°; 139°; 139°; 76%; 35%; 53%; 75%; 95.7%; 403°; 33°; 28°; 45%; 19°; 0°; 21°; 0°; 20°; 127°; 127°; 10880; 16635h; 26°; 80°; 21°; 17%; AUS; OFFEN; TROCKEN; 2.61A; 
2024-05-24; 15:26:57; übergangsbetr.;    Heizen      ; 1; 0; 77°; 139°; 139°; 75%; 35%; 52%; 74%; 95.6%; 403°; 33°; 28°; 51%; 19°; 0°; 21°; 0°; 20°; 127°; 127°; 10880; 16635h; 26°; 80°; 21°; 17%; AUS; OFFEN; TROCKEN; 1.89A; 
2024-05-24; 15:27:57; übergangsbetr.;    Heizen      ; 1; 0; 77°; 139°; 140°; 76%; 35%; 53%; 75%; 95.4%; 404°; 34°; 28°; 51%; 19°; 0°; 21°; 0°; 20°; 127°; 127°; 10880; 16635h; 26°; 80°; 22°; 17%; AUS; OFFEN; TROCKEN; 2.74A; 
2024-05-24; 15:28:57; übergangsbetr.;    Heizen      ; 1; 0; 76°; 141°; 144°; 79%; 35%; 54%; 77%; 95.3%; 405°; 34°; 28°; 45%; 19°; 0°; 21°; 0°; 20°; 127°; 127°; 10880; 16635h; 27°; 80°; 22°; 17%; AUS; OFFEN; TROCKEN; 3.29A; 
2024-05-24; 15:29:57; übergangsbetr.;    Heizen      ; 1; 0; 78°; 142°; 142°; 76%; 35%; 53%; 75%; 95.2%; 405°; 34°; 28°; 57%; 19°; 0°; 21°; 0°; 20°; 127°; 127°; 10880; 16635h; 27°; 80°; 22°; 17%; AUS; OFFEN; TROCKEN; 3.12A; 
2024-05-24; 15:30:57; übergangsbetr.;    Heizen      ; 1; 0; 77°; 144°; 146°; 79%; 35%; 54%; 77%; 95.1%; 406°; 36°; 28°; 51%; 19°; 0°; 21°; 0°; 20°; 127°; 127°; 10880; 16635h; 28°; 80°; 22°; 17%; AUS; OFFEN; TROCKEN; 3.20A; 
2024-05-24; 15:31:57; übergangsbetr.;    Heizen      ; 1; 0; 77°; 143°; 148°; 83%; 35%; 56%; 81%; 94.9%; 407°; 37°; 28°; 52%; 19°; 0°; 21°; 0°; 20°; 127°; 127°; 10880; 16635h; 28°; 80°; 22°; 17%; AUS; OFFEN; TROCKEN; 1.68A; 
2024-05-24; 15:32:57; übergangsbetr.;    Heizen      ; 1; 0; 76°; 145°; 151°; 86%; 35%; 57%; 82%; 94.8%; 407°; 38°; 28°; 52%; 19°; 0°; 21°; 0°; 20°; 127°; 127°; 10880; 16635h; 28°; 80°; 22°; 17%; AUS; OFFEN; TROCKEN; 2.61A; 
2024-05-24; 15:33:57; übergangsbetr.;    Heizen      ; 1; 0; 77°; 146°; 151°; 86%; 35%; 58%; 83%; 94.6%; 407°; 40°; 29°; 52%; 20°; 0°; 21°; 0°; 20°; 127°; 127°; 10880; 16635h; 28°; 80°; 22°; 17%; AUS; OFFEN; TROCKEN; 3.33A; 
2024-05-24; 15:34:57; übergangsbetr.;    Heizen      ; 1; 0; 77°; 147°; 153°; 89%; 35%; 59%; 86%; 94.5%; 407°; 41°; 29°; 51%; 20°; 0°; 21°; 0°; 20°; 127°; 127°; 10880; 16635h; 28°; 80°; 22°; 17%; AUS; OFFEN; TROCKEN; 2.46A; 
