Date;  Time; Betriebsart; Status; Zustand; ROST; Kesseltemp; Abgastemp.; Abgas. SW ; KessStellGr; Saugzug  ; Zuluftgebl; Einschub; Fuellst.:; Feuerraumt; Puffert.ob; Puffert.un; Puffer Pu.; Außentemp; Vorlauft.1sw; Vorlauft.1; Vorlauft.2sw; Vorlauft.2; KTY6_H2; KTY7_H2; Brenn.ST; Laufzeit:; Boardtemp.; Die Kesseltemp. soll sein; Heizungsraum-Temp; Heizungsraum-Feuchtigkeit; Ventilator; Zuluftklappe; Leckwassersensor; Stromstaerke; ; 
2024-05-24; 17:28:56; übergangsbetr.;   Brenner Aus  ; 1; 0; 78°; 79°; 211°; 86%; 0%; 0%; 0%; 82.7%; 410°; 74°; 74°; 0%; 18°; 0°; 27°; 0°; 34°; 127°; 127°; 10880; 16637h; 37°; 80°; 25°; 15%; AUS; ZU; TROCKEN; 0.13A; 
2024-05-24; 17:29:56; übergangsbetr.;   Brenner Aus  ; 1; 0; 78°; 79°; 213°; 86%; 0%; 0%; 0%; 82.7%; 409°; 74°; 74°; 0%; 18°; 0°; 27°; 0°; 34°; 127°; 127°; 10880; 16637h; 37°; 80°; 25°; 15%; AUS; ZU; TROCKEN; 0.13A; 
2024-05-24; 17:30:56; übergangsbetr.;   Brenner Aus  ; 1; 0; 78°; 78°; 214°; 86%; 0%; 0%; 0%; 82.7%; 409°; 74°; 74°; 0%; 18°; 0°; 27°; 0°; 34°; 127°; 127°; 10880; 16637h; 37°; 80°; 25°; 15%; AUS; ZU; TROCKEN; 0.13A; 
2024-05-24; 17:31:56; übergangsbetr.;   Brenner Aus  ; 1; 0; 78°; 78°; 216°; 86%; 0%; 0%; 0%; 82.7%; 409°; 74°; 74°; 0%; 18°; 0°; 27°; 0°; 34°; 127°; 127°; 10880; 16637h; 37°; 80°; 25°; 15%; AUS; ZU; TROCKEN; 0.13A; 
2024-05-24; 17:32:56; übergangsbetr.;   Brenner Aus  ; 1; 0; 78°; 78°; 217°; 86%; 0%; 0%; 0%; 82.7%; 409°; 74°; 74°; 0%; 18°; 0°; 27°; 0°; 34°; 127°; 127°; 10880; 16637h; 37°; 80°; 25°; 15%; AUS; ZU; TROCKEN; 0.15A; 
2024-05-24; 17:33:56; übergangsbetr.;   Brenner Aus  ; 1; 0; 78°; 77°; 219°; 85%; 0%; 0%; 0%; 82.7%; 409°; 74°; 74°; 0%; 18°; 0°; 27°; 0°; 34°; 127°; 127°; 10880; 16637h; 37°; 80°; 25°; 15%; AUS; ZU; TROCKEN; 0.13A; 
2024-05-24; 17:34:56; übergangsbetr.;   Brenner Aus  ; 1; 0; 78°; 77°; 220°; 85%; 0%; 0%; 0%; 82.7%; 409°; 74°; 74°; 0%; 18°; 0°; 27°; 0°; 34°; 127°; 127°; 10880; 16637h; 37°; 80°; 25°; 15%; AUS; ZU; TROCKEN; 0.17A; 
2024-05-24; 17:35:56; übergangsbetr.;   Brenner Aus  ; 1; 0; 78°; 77°; 222°; 85%; 0%; 0%; 0%; 82.7%; 409°; 74°; 74°; 0%; 18°; 0°; 27°; 0°; 34°; 127°; 127°; 10880; 16637h; 37°; 80°; 25°; 15%; AUS; ZU; TROCKEN; 0.11A; 
2024-05-24; 17:36:57; übergangsbetr.;   Brenner Aus  ; 1; 0; 78°; 76°; 223°; 85%; 0%; 0%; 0%; 82.7%; 409°; 74°; 74°; 0%; 18°; 0°; 27°; 0°; 34°; 127°; 127°; 10880; 16637h; 37°; 80°; 25°; 15%; AUS; ZU; TROCKEN; 0.11A; 
2024-05-24; 17:37:57; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 76°; 229°; 85%; 0%; 0%; 0%; 82.7%; 409°; 74°; 72°; 0%; 18°; 0°; 28°; 0°; 34°; 127°; 127°; 10880; 16637h; 37°; 80°; 25°; 15%; AUS; ZU; TROCKEN; 0.11A; 
2024-05-24; 17:38:57; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 75°; 231°; 84%; 0%; 0%; 0%; 82.7%; 408°; 74°; 72°; 0%; 18°; 0°; 28°; 0°; 34°; 127°; 127°; 10880; 16637h; 36°; 80°; 25°; 15%; AUS; ZU; TROCKEN; 0.13A; 
2024-05-24; 17:39:57; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 75°; 233°; 84%; 0%; 0%; 0%; 82.7%; 408°; 74°; 72°; 0%; 18°; 0°; 28°; 0°; 34°; 127°; 127°; 10880; 16637h; 36°; 80°; 25°; 15%; AUS; ZU; TROCKEN; 0.11A; 
2024-05-24; 17:40:57; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 74°; 235°; 83%; 0%; 0%; 0%; 82.7%; 408°; 74°; 72°; 0%; 18°; 0°; 28°; 0°; 34°; 127°; 127°; 10880; 16637h; 36°; 80°; 25°; 15%; AUS; ZU; TROCKEN; 0.13A; 
2024-05-24; 17:41:57; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 74°; 238°; 83%; 0%; 0%; 0%; 82.7%; 408°; 74°; 72°; 0%; 18°; 0°; 28°; 0°; 34°; 127°; 127°; 10880; 16637h; 36°; 80°; 25°; 15%; AUS; ZU; TROCKEN; 0.11A; 
2024-05-24; 17:42:57; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 74°; 240°; 83%; 0%; 0%; 0%; 82.7%; 408°; 74°; 72°; 0%; 18°; 0°; 28°; 0°; 34°; 127°; 127°; 10880; 16637h; 36°; 80°; 25°; 15%; AUS; ZU; TROCKEN; 0.11A; 
2024-05-24; 17:43:57; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 73°; 242°; 83%; 0%; 0%; 0%; 82.7%; 408°; 74°; 72°; 0%; 18°; 0°; 28°; 0°; 34°; 127°; 127°; 10880; 16637h; 36°; 80°; 25°; 15%; AUS; ZU; TROCKEN; 0.11A; 
2024-05-24; 17:44:57; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 73°; 244°; 83%; 0%; 0%; 0%; 82.7%; 408°; 74°; 72°; 79%; 18°; 0°; 28°; 0°; 34°; 127°; 127°; 10880; 16637h; 36°; 80°; 25°; 15%; AUS; ZU; TROCKEN; 0.13A; 
2024-05-24; 17:45:57; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 73°; 246°; 83%; 0%; 0%; 0%; 82.7%; 408°; 74°; 72°; 0%; 18°; 0°; 28°; 0°; 34°; 127°; 127°; 10880; 16637h; 36°; 80°; 25°; 15%; AUS; ZU; TROCKEN; 0.13A; 
2024-05-24; 17:46:57; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 73°; 248°; 83%; 0%; 0%; 0%; 82.7%; 407°; 74°; 72°; 0%; 18°; 0°; 28°; 0°; 34°; 127°; 127°; 10880; 16637h; 36°; 80°; 25°; 15%; AUS; ZU; TROCKEN; 0.15A; 
2024-05-24; 17:47:57; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 73°; 250°; 83%; 0%; 0%; 0%; 82.7%; 407°; 74°; 72°; 0%; 18°; 0°; 28°; 0°; 34°; 127°; 127°; 10880; 16637h; 36°; 80°; 25°; 15%; AUS; ZU; TROCKEN; 0.11A; 
2024-05-24; 17:48:57; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 72°; 250°; 82%; 0%; 0%; 0%; 82.7%; 407°; 74°; 72°; 0%; 18°; 0°; 28°; 0°; 34°; 127°; 127°; 10880; 16637h; 36°; 80°; 25°; 15%; AUS; ZU; TROCKEN; 0.13A; 
2024-05-24; 17:49:57; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 72°; 250°; 82%; 0%; 0%; 0%; 82.7%; 407°; 74°; 72°; 0%; 18°; 0°; 28°; 0°; 34°; 127°; 127°; 10880; 16637h; 36°; 80°; 25°; 15%; AUS; ZU; TROCKEN; 0.13A; 
2024-05-24; 17:50:57; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 72°; 250°; 82%; 0%; 0%; 0%; 82.7%; 407°; 74°; 72°; 0%; 18°; 0°; 28°; 0°; 34°; 127°; 127°; 10880; 16637h; 36°; 80°; 25°; 15%; AUS; ZU; TROCKEN; 0.11A; 
2024-05-24; 17:51:57; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 72°; 250°; 82%; 0%; 0%; 0%; 82.7%; 407°; 74°; 72°; 0%; 18°; 0°; 28°; 0°; 34°; 127°; 127°; 10880; 16637h; 36°; 80°; 25°; 15%; AUS; ZU; TROCKEN; 0.11A; 
2024-05-24; 17:52:57; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 72°; 250°; 82%; 0%; 0%; 0%; 82.7%; 407°; 74°; 72°; 0%; 18°; 0°; 28°; 0°; 34°; 127°; 127°; 10880; 16637h; 36°; 80°; 25°; 15%; AUS; ZU; TROCKEN; 0.11A; 
2024-05-24; 17:53:57; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 71°; 250°; 81%; 0%; 0%; 0%; 82.7%; 407°; 74°; 72°; 0%; 18°; 0°; 28°; 0°; 34°; 127°; 127°; 10880; 16637h; 36°; 80°; 25°; 15%; AUS; ZU; TROCKEN; 0.15A; 
2024-05-24; 17:54:57; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 71°; 250°; 81%; 0%; 0%; 0%; 82.7%; 407°; 74°; 72°; 0%; 18°; 0°; 28°; 0°; 34°; 127°; 127°; 10880; 16637h; 36°; 80°; 25°; 15%; AUS; ZU; TROCKEN; 0.34A; 
2024-05-24; 17:55:57; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 71°; 250°; 81%; 0%; 0%; 0%; 82.7%; 407°; 74°; 72°; 0%; 18°; 0°; 28°; 0°; 34°; 127°; 127°; 10880; 16637h; 36°; 80°; 25°; 15%; AUS; ZU; TROCKEN; 0.11A; 
2024-05-24; 17:56:57; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 71°; 246°; 79%; 0%; 0%; 0%; 82.7%; 407°; 74°; 72°; 49%; 18°; 0°; 28°; 0°; 34°; 127°; 127°; 10880; 16637h; 36°; 80°; 25°; 15%; AUS; ZU; TROCKEN; 0.28A; 
2024-05-24; 17:57:57; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 71°; 250°; 81%; 0%; 0%; 0%; 82.7%; 407°; 74°; 72°; 0%; 18°; 0°; 28°; 0°; 34°; 127°; 127°; 10880; 16637h; 36°; 80°; 25°; 15%; AUS; ZU; TROCKEN; 0.13A; 
2024-05-24; 17:58:57; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 71°; 250°; 81%; 0%; 0%; 0%; 82.7%; 407°; 74°; 72°; 0%; 18°; 0°; 28°; 0°; 34°; 127°; 127°; 10880; 16637h; 36°; 80°; 25°; 15%; AUS; ZU; TROCKEN; 0.13A; 
2024-05-24; 17:59:57; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 71°; 250°; 81%; 0%; 0%; 0%; 82.7%; 407°; 74°; 72°; 0%; 18°; 0°; 28°; 0°; 34°; 127°; 127°; 10880; 16637h; 36°; 80°; 25°; 15%; AUS; ZU; TROCKEN; 0.13A; 
2024-05-24; 18:00:57; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 71°; 250°; 81%; 0%; 0%; 0%; 82.7%; 407°; 72°; 72°; 0%; 18°; 0°; 28°; 0°; 34°; 127°; 127°; 10880; 16637h; 36°; 80°; 25°; 15%; AUS; ZU; TROCKEN; 0.11A; 
2024-05-24; 18:01:57; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 71°; 250°; 81%; 0%; 0%; 0%; 82.7%; 407°; 72°; 72°; 0%; 18°; 0°; 28°; 0°; 34°; 127°; 127°; 10880; 16637h; 36°; 80°; 25°; 15%; AUS; ZU; TROCKEN; 0.11A; 
2024-05-24; 18:02:57; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 70°; 250°; 81%; 0%; 0%; 0%; 82.7%; 407°; 72°; 72°; 0%; 18°; 0°; 28°; 0°; 34°; 127°; 127°; 10880; 16637h; 36°; 80°; 25°; 15%; AUS; ZU; TROCKEN; 0.13A; 
2024-05-24; 18:03:57; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 70°; 250°; 81%; 0%; 0%; 0%; 82.7%; 407°; 72°; 72°; 0%; 18°; 0°; 28°; 0°; 34°; 127°; 127°; 10880; 16637h; 36°; 80°; 25°; 15%; AUS; ZU; TROCKEN; 0.13A; 
2024-05-24; 18:04:57; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 70°; 250°; 81%; 0%; 0%; 0%; 82.7%; 407°; 72°; 72°; 0%; 18°; 0°; 28°; 0°; 34°; 127°; 127°; 10880; 16637h; 36°; 80°; 25°; 15%; AUS; ZU; TROCKEN; 0.13A; 
2024-05-24; 18:05:57; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 70°; 250°; 81%; 0%; 0%; 0%; 82.7%; 407°; 72°; 72°; 0%; 18°; 0°; 28°; 0°; 34°; 127°; 127°; 10880; 16637h; 36°; 80°; 25°; 15%; AUS; ZU; TROCKEN; 0.13A; 
2024-05-24; 18:06:57; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 70°; 250°; 81%; 0%; 0%; 0%; 82.7%; 407°; 72°; 72°; 0%; 18°; 0°; 28°; 0°; 34°; 127°; 127°; 10880; 16637h; 36°; 80°; 25°; 15%; AUS; ZU; TROCKEN; 0.13A; 
2024-05-24; 18:07:57; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 70°; 250°; 81%; 0%; 0%; 0%; 82.7%; 407°; 72°; 72°; 0%; 18°; 0°; 28°; 0°; 34°; 127°; 127°; 10880; 16637h; 36°; 80°; 25°; 15%; AUS; ZU; TROCKEN; 0.11A; 
2024-05-24; 18:08:57; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 70°; 250°; 81%; 0%; 0%; 0%; 82.7%; 407°; 72°; 72°; 0%; 18°; 0°; 28°; 0°; 34°; 127°; 127°; 10880; 16637h; 36°; 80°; 25°; 15%; AUS; ZU; TROCKEN; 0.11A; 
2024-05-24; 18:09:57; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 70°; 250°; 81%; 0%; 0%; 0%; 82.7%; 407°; 72°; 72°; 0%; 18°; 0°; 28°; 0°; 34°; 127°; 127°; 10880; 16637h; 36°; 80°; 25°; 15%; AUS; ZU; TROCKEN; 0.13A; 
2024-05-24; 18:10:57; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 69°; 250°; 80%; 0%; 0%; 0%; 82.7%; 407°; 72°; 72°; 0%; 18°; 0°; 28°; 0°; 34°; 127°; 127°; 10880; 16637h; 36°; 80°; 25°; 15%; AUS; ZU; TROCKEN; 0.13A; 
2024-05-24; 18:11:57; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 69°; 250°; 80%; 0%; 0%; 0%; 82.7%; 407°; 72°; 72°; 0%; 18°; 0°; 28°; 0°; 33°; 127°; 127°; 10880; 16637h; 36°; 80°; 25°; 15%; AUS; ZU; TROCKEN; 0.11A; 
2024-05-24; 18:12:57; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 69°; 250°; 80%; 0%; 0%; 0%; 82.7%; 407°; 72°; 72°; 0%; 18°; 0°; 28°; 0°; 33°; 127°; 127°; 10880; 16637h; 36°; 80°; 25°; 15%; AUS; ZU; TROCKEN; 0.11A; 
2024-05-24; 18:13:57; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 69°; 250°; 80%; 0%; 0%; 0%; 82.7%; 407°; 72°; 72°; 0%; 18°; 0°; 28°; 0°; 33°; 127°; 127°; 10880; 16637h; 36°; 80°; 25°; 15%; AUS; ZU; TROCKEN; 0.13A; 
2024-05-24; 18:14:57; übergangsbetr.;   Brenner Aus  ; 1; 0; 75°; 68°; 250°; 80%; 0%; 0%; 0%; 82.7%; 406°; 72°; 72°; 0%; 18°; 0°; 28°; 0°; 33°; 127°; 127°; 10880; 16637h; 35°; 80°; 25°; 15%; AUS; ZU; TROCKEN; 0.11A; 
2024-05-24; 18:15:57; übergangsbetr.;   Brenner Aus  ; 1; 0; 75°; 68°; 250°; 80%; 0%; 0%; 0%; 82.7%; 406°; 72°; 72°; 0%; 18°; 0°; 28°; 0°; 33°; 127°; 127°; 10880; 16637h; 35°; 80°; 25°; 15%; AUS; ZU; TROCKEN; 0.11A; 
2024-05-24; 18:16:57; übergangsbetr.;   Brenner Aus  ; 1; 0; 75°; 68°; 250°; 80%; 0%; 0%; 0%; 82.7%; 406°; 72°; 72°; 0%; 18°; 0°; 28°; 0°; 33°; 127°; 127°; 10880; 16637h; 35°; 80°; 25°; 15%; AUS; ZU; TROCKEN; 0.11A; 
2024-05-24; 18:17:57; übergangsbetr.;   Brenner Aus  ; 1; 0; 75°; 68°; 250°; 80%; 0%; 0%; 0%; 82.7%; 406°; 72°; 72°; 0%; 18°; 0°; 28°; 0°; 33°; 127°; 127°; 10880; 16637h; 35°; 80°; 25°; 15%; AUS; ZU; TROCKEN; 0.13A; 
2024-05-24; 18:18:57; übergangsbetr.;   Brenner Aus  ; 1; 0; 75°; 68°; 250°; 80%; 0%; 0%; 0%; 82.7%; 406°; 72°; 72°; 0%; 18°; 0°; 28°; 0°; 33°; 127°; 127°; 10880; 16637h; 35°; 80°; 25°; 15%; AUS; ZU; TROCKEN; 0.15A; 
2024-05-24; 18:19:57; übergangsbetr.;   Brenner Aus  ; 1; 0; 75°; 68°; 250°; 80%; 0%; 0%; 0%; 82.7%; 406°; 72°; 72°; 0%; 18°; 0°; 28°; 0°; 33°; 127°; 127°; 10880; 16637h; 35°; 80°; 25°; 15%; AUS; ZU; TROCKEN; 0.15A; 
2024-05-24; 18:20:57; übergangsbetr.;   Brenner Aus  ; 1; 0; 75°; 67°; 250°; 79%; 0%; 0%; 0%; 82.7%; 406°; 72°; 72°; 0%; 18°; 0°; 28°; 0°; 33°; 127°; 127°; 10880; 16637h; 35°; 80°; 25°; 15%; AUS; ZU; TROCKEN; 0.13A; 
2024-05-24; 18:21:57; übergangsbetr.;   Brenner Aus  ; 1; 0; 75°; 67°; 250°; 79%; 0%; 0%; 0%; 82.7%; 406°; 72°; 72°; 0%; 18°; 0°; 28°; 0°; 33°; 127°; 127°; 10880; 16637h; 35°; 80°; 25°; 15%; AUS; ZU; TROCKEN; 0.11A; 
2024-05-24; 18:22:57; übergangsbetr.;   Brenner Aus  ; 1; 0; 75°; 67°; 250°; 79%; 0%; 0%; 0%; 82.7%; 406°; 72°; 72°; 0%; 18°; 0°; 28°; 0°; 33°; 127°; 127°; 10880; 16637h; 35°; 80°; 25°; 15%; AUS; ZU; TROCKEN; 0.11A; 
2024-05-24; 18:23:57; übergangsbetr.;   Brenner Aus  ; 1; 0; 75°; 67°; 250°; 79%; 0%; 0%; 0%; 82.7%; 406°; 72°; 72°; 0%; 18°; 0°; 28°; 0°; 33°; 127°; 127°; 10880; 16637h; 35°; 80°; 25°; 15%; AUS; ZU; TROCKEN; 0.13A; 
2024-05-24; 18:24:57; übergangsbetr.;   Brenner Aus  ; 1; 0; 75°; 67°; 250°; 79%; 0%; 0%; 0%; 82.7%; 406°; 72°; 72°; 0%; 18°; 0°; 28°; 0°; 33°; 127°; 127°; 10880; 16637h; 35°; 80°; 25°; 15%; AUS; ZU; TROCKEN; 0.13A; 
2024-05-24; 18:25:57; übergangsbetr.;   Brenner Aus  ; 1; 0; 75°; 67°; 250°; 79%; 0%; 0%; 0%; 82.7%; 406°; 72°; 72°; 0%; 18°; 0°; 28°; 0°; 33°; 127°; 127°; 10880; 16637h; 35°; 80°; 25°; 15%; AUS; ZU; TROCKEN; 0.11A; 
2024-05-24; 18:26:57; übergangsbetr.;   Brenner Aus  ; 1; 0; 75°; 67°; 250°; 79%; 0%; 0%; 0%; 82.7%; 406°; 72°; 72°; 0%; 18°; 0°; 28°; 0°; 33°; 127°; 127°; 10880; 16637h; 35°; 80°; 25°; 15%; AUS; ZU; TROCKEN; 0.11A; 
2024-05-24; 18:27:57; übergangsbetr.;   Brenner Aus  ; 1; 0; 75°; 67°; 250°; 79%; 0%; 0%; 0%; 82.7%; 406°; 72°; 72°; 0%; 18°; 0°; 28°; 0°; 32°; 127°; 127°; 10880; 16637h; 35°; 80°; 25°; 15%; AUS; ZU; TROCKEN; 0.11A; 
2024-05-24; 18:28:56; übergangsbetr.;   Brenner Aus  ; 1; 0; 75°; 67°; 250°; 79%; 0%; 0%; 0%; 82.7%; 406°; 72°; 72°; 0%; 18°; 0°; 28°; 0°; 32°; 127°; 127°; 10880; 16637h; 35°; 80°; 25°; 15%; AUS; ZU; TROCKEN; 0.15A; 
2024-05-24; 18:29:56; übergangsbetr.;   Brenner Aus  ; 1; 0; 74°; 67°; 250°; 79%; 0%; 0%; 0%; 82.7%; 406°; 72°; 72°; 0%; 18°; 0°; 28°; 0°; 32°; 127°; 127°; 10880; 16637h; 35°; 80°; 25°; 15%; AUS; ZU; TROCKEN; 0.11A; 
2024-05-24; 18:30:56; übergangsbetr.;   Brenner Aus  ; 1; 0; 74°; 67°; 250°; 79%; 0%; 0%; 0%; 82.7%; 406°; 72°; 72°; 0%; 18°; 0°; 28°; 0°; 32°; 127°; 127°; 10880; 16637h; 35°; 80°; 25°; 15%; AUS; ZU; TROCKEN; 0.11A; 
2024-05-24; 18:31:56; übergangsbetr.;   Brenner Aus  ; 1; 0; 74°; 67°; 250°; 78%; 0%; 0%; 0%; 82.7%; 406°; 72°; 72°; 0%; 18°; 0°; 28°; 0°; 32°; 127°; 127°; 10880; 16637h; 35°; 80°; 25°; 15%; AUS; ZU; TROCKEN; 0.11A; 
2024-05-24; 18:32:56; übergangsbetr.;   Brenner Aus  ; 1; 0; 74°; 66°; 250°; 78%; 0%; 0%; 0%; 82.7%; 406°; 72°; 72°; 0%; 18°; 0°; 28°; 0°; 32°; 127°; 127°; 10880; 16637h; 35°; 80°; 25°; 15%; AUS; ZU; TROCKEN; 0.11A; 
2024-05-24; 18:33:56; übergangsbetr.;   Brenner Aus  ; 1; 0; 74°; 66°; 250°; 78%; 0%; 0%; 0%; 82.7%; 406°; 72°; 72°; 0%; 18°; 0°; 28°; 0°; 32°; 127°; 127°; 10880; 16637h; 35°; 80°; 25°; 15%; AUS; ZU; TROCKEN; 0.13A; 
2024-05-24; 18:34:56; übergangsbetr.;   Brenner Aus  ; 1; 0; 74°; 66°; 250°; 78%; 0%; 0%; 0%; 82.7%; 406°; 72°; 72°; 0%; 18°; 0°; 28°; 0°; 32°; 127°; 127°; 10880; 16637h; 35°; 80°; 25°; 15%; AUS; ZU; TROCKEN; 0.11A; 
2024-05-24; 18:35:56; übergangsbetr.;   Brenner Aus  ; 1; 0; 74°; 66°; 250°; 78%; 0%; 0%; 0%; 82.7%; 406°; 72°; 71°; 0%; 18°; 0°; 28°; 0°; 32°; 127°; 127°; 10880; 16637h; 35°; 80°; 25°; 15%; AUS; ZU; TROCKEN; 0.13A; 
2024-05-24; 18:36:56; übergangsbetr.;   Brenner Aus  ; 1; 0; 74°; 66°; 250°; 78%; 0%; 0%; 0%; 82.7%; 406°; 72°; 71°; 0%; 18°; 0°; 28°; 0°; 32°; 127°; 127°; 10880; 16637h; 35°; 80°; 25°; 15%; AUS; ZU; TROCKEN; 0.11A; 
2024-05-24; 18:37:56; übergangsbetr.;   Brenner Aus  ; 1; 0; 74°; 66°; 250°; 78%; 0%; 0%; 0%; 82.7%; 406°; 72°; 71°; 0%; 18°; 0°; 28°; 0°; 32°; 127°; 127°; 10880; 16637h; 35°; 80°; 25°; 15%; AUS; ZU; TROCKEN; 0.13A; 
2024-05-24; 18:38:56; übergangsbetr.;   Brenner Aus  ; 1; 0; 74°; 66°; 250°; 78%; 0%; 0%; 0%; 82.7%; 406°; 72°; 71°; 0%; 18°; 0°; 28°; 0°; 32°; 127°; 127°; 10880; 16637h; 35°; 80°; 25°; 15%; AUS; ZU; TROCKEN; 0.11A; 
2024-05-24; 18:39:56; übergangsbetr.;   Brenner Aus  ; 1; 0; 74°; 66°; 250°; 78%; 0%; 0%; 0%; 82.7%; 406°; 72°; 71°; 0%; 18°; 0°; 28°; 0°; 32°; 127°; 127°; 10880; 16637h; 35°; 80°; 25°; 15%; AUS; ZU; TROCKEN; 0.11A; 
2024-05-24; 18:40:56; übergangsbetr.;   Brenner Aus  ; 1; 0; 74°; 66°; 250°; 78%; 0%; 0%; 0%; 82.7%; 406°; 72°; 71°; 0%; 18°; 0°; 28°; 0°; 32°; 127°; 127°; 10880; 16637h; 35°; 80°; 25°; 15%; AUS; ZU; TROCKEN; 0.13A; 
2024-05-24; 18:41:56; übergangsbetr.;   Brenner Aus  ; 1; 0; 74°; 66°; 250°; 78%; 0%; 0%; 0%; 82.7%; 406°; 72°; 71°; 0%; 18°; 0°; 28°; 0°; 32°; 127°; 127°; 10880; 16637h; 35°; 80°; 25°; 15%; AUS; ZU; TROCKEN; 0.11A; 
2024-05-24; 18:42:56; übergangsbetr.;   Brenner Aus  ; 1; 0; 74°; 66°; 250°; 78%; 0%; 0%; 0%; 82.7%; 406°; 72°; 71°; 0%; 18°; 0°; 28°; 0°; 32°; 127°; 127°; 10880; 16637h; 35°; 80°; 25°; 15%; AUS; ZU; TROCKEN; 0.11A; 
2024-05-24; 18:43:56; übergangsbetr.;   Brenner Aus  ; 1; 0; 74°; 66°; 248°; 78%; 0%; 0%; 0%; 82.7%; 406°; 72°; 71°; 0%; 18°; 0°; 28°; 0°; 32°; 127°; 127°; 10880; 16637h; 35°; 80°; 25°; 15%; AUS; ZU; TROCKEN; 0.13A; 
2024-05-24; 18:44:56; übergangsbetr.;   Brenner Aus  ; 1; 0; 74°; 66°; 250°; 78%; 0%; 0%; 0%; 82.7%; 406°; 72°; 71°; 0%; 18°; 0°; 28°; 0°; 32°; 127°; 127°; 10880; 16637h; 35°; 80°; 25°; 15%; AUS; ZU; TROCKEN; 0.13A; 
2024-05-24; 18:45:56; übergangsbetr.;   Brenner Aus  ; 1; 0; 74°; 65°; 250°; 78%; 0%; 0%; 0%; 82.7%; 406°; 72°; 71°; 0%; 17°; 0°; 28°; 0°; 32°; 127°; 127°; 10880; 16637h; 35°; 80°; 25°; 15%; AUS; ZU; TROCKEN; 0.11A; 
2024-05-24; 18:46:56; übergangsbetr.;   Brenner Aus  ; 1; 0; 74°; 65°; 250°; 78%; 0%; 0%; 0%; 82.7%; 406°; 72°; 71°; 0%; 18°; 0°; 28°; 0°; 32°; 127°; 127°; 10880; 16637h; 35°; 80°; 25°; 15%; AUS; ZU; TROCKEN; 0.13A; 
2024-05-24; 18:47:56; übergangsbetr.;   Brenner Aus  ; 1; 0; 74°; 65°; 250°; 78%; 0%; 0%; 0%; 82.7%; 406°; 72°; 71°; 0%; 17°; 0°; 28°; 0°; 32°; 127°; 127°; 10880; 16637h; 35°; 80°; 25°; 15%; AUS; ZU; TROCKEN; 0.11A; 
2024-05-24; 18:48:56; übergangsbetr.;   Brenner Aus  ; 1; 0; 74°; 65°; 250°; 78%; 0%; 0%; 0%; 82.7%; 406°; 72°; 71°; 0%; 18°; 0°; 28°; 0°; 32°; 127°; 127°; 10880; 16637h; 35°; 80°; 25°; 15%; AUS; ZU; TROCKEN; 0.11A; 
2024-05-24; 18:49:56; übergangsbetr.;   Brenner Aus  ; 1; 0; 74°; 65°; 250°; 78%; 0%; 0%; 0%; 82.7%; 406°; 72°; 70°; 0%; 17°; 0°; 28°; 0°; 32°; 127°; 127°; 10880; 16637h; 35°; 80°; 25°; 15%; AUS; ZU; TROCKEN; 0.13A; 
