Date;  Time; Betriebsart; Status; Zustand; ROST; Kesseltemp; Abgastemp.; Abgas. SW ; KessStellGr; Saugzug  ; Zuluftgebl; Einschub; Fuellst.:; Feuerraumt; Puffert.ob; Puffert.un; Puffer Pu.; Außentemp; Vorlauft.1sw; Vorlauft.1; Vorlauft.2sw; Vorlauft.2; KTY6_H2; KTY7_H2; Brenn.ST; Laufzeit:; Boardtemp.; Die Kesseltemp. soll sein; Heizungsraum-Temp; Heizungsraum-Feuchtigkeit; Ventilator; Zuluftklappe; Leckwassersensor; Stromstaerke; ; 
2025-01-09; 00:00:29; übergangsbetr.; Abst.Warten   2; 1; 0; 80°; 104°; 158°; 100%; 0%; 0%; 0%; 87.3%; 424°; 78°; 77°; 0%; -0°; 30°; 29°; 40°; 40°; 127°; 127°; 11040; 16908h; 42°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 0.28A; 
2025-01-09; 00:30:28; übergangsbetr.;   Brenner Aus  ; 1; 0; 80°; 78°; 156°; 86%; 0%; 0%; 0%; 87.2%; 412°; 77°; 76°; 0%; -0°; 29°; 28°; 40°; 42°; 127°; 127°; 11040; 16908h; 41°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.28A; 
2025-01-09; 00:31:28; übergangsbetr.;   Brenner Aus  ; 1; 0; 80°; 78°; 156°; 86%; 0%; 0%; 0%; 87.2%; 412°; 77°; 76°; 0%; -0°; 29°; 28°; 40°; 41°; 127°; 127°; 11040; 16908h; 41°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.21A; 
2025-01-09; 00:32:28; übergangsbetr.;   Brenner Aus  ; 1; 0; 78°; 78°; 163°; 86%; 0%; 0%; 0%; 87.2%; 412°; 77°; 75°; 0%; -0°; 29°; 28°; 40°; 43°; 127°; 127°; 11040; 16908h; 41°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.28A; 
2025-01-09; 00:33:28; übergangsbetr.;   Brenner Aus  ; 1; 0; 79°; 77°; 160°; 85%; 0%; 0%; 0%; 87.2%; 412°; 77°; 75°; 0%; -0°; 29°; 28°; 40°; 41°; 127°; 127°; 11040; 16908h; 41°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.28A; 
2025-01-09; 00:34:28; übergangsbetr.;   Brenner Aus  ; 1; 0; 79°; 77°; 160°; 85%; 0%; 0%; 0%; 87.2%; 411°; 77°; 76°; 0%; -0°; 29°; 29°; 40°; 41°; 127°; 127°; 11040; 16908h; 41°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.30A; 
2025-01-09; 00:35:28; übergangsbetr.;   Brenner Aus  ; 1; 0; 80°; 76°; 159°; 85%; 0%; 0%; 0%; 87.2%; 410°; 77°; 76°; 0%; -0°; 29°; 31°; 40°; 41°; 127°; 127°; 11040; 16908h; 40°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.23A; 
2025-01-09; 00:36:28; übergangsbetr.;   Brenner Aus  ; 1; 0; 78°; 75°; 166°; 84%; 0%; 0%; 0%; 87.2%; 410°; 77°; 75°; 0%; -0°; 29°; 29°; 40°; 40°; 127°; 127°; 11040; 16908h; 40°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.21A; 
2025-01-09; 00:37:28; übergangsbetr.;   Brenner Aus  ; 1; 0; 79°; 75°; 162°; 84%; 0%; 0%; 0%; 87.2%; 410°; 77°; 75°; 0%; -0°; 29°; 28°; 40°; 40°; 127°; 127°; 11040; 16908h; 40°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.23A; 
2025-01-09; 00:38:28; übergangsbetr.;   Brenner Aus  ; 1; 0; 78°; 75°; 169°; 84%; 0%; 0%; 0%; 87.2%; 410°; 77°; 74°; 0%; -0°; 29°; 28°; 40°; 40°; 127°; 127°; 11040; 16908h; 40°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.23A; 
2025-01-09; 00:39:28; übergangsbetr.;   Brenner Aus  ; 1; 0; 78°; 75°; 169°; 84%; 0%; 0%; 0%; 87.2%; 410°; 77°; 74°; 0%; -0°; 29°; 28°; 40°; 40°; 127°; 127°; 11040; 16908h; 40°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.23A; 
2025-01-09; 00:40:28; übergangsbetr.;   Brenner Aus  ; 1; 0; 78°; 74°; 170°; 83%; 0%; 0%; 0%; 87.2%; 410°; 77°; 74°; 0%; -0°; 29°; 28°; 40°; 40°; 127°; 127°; 11040; 16908h; 40°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.19A; 
2025-01-09; 00:41:28; übergangsbetr.;   Brenner Aus  ; 1; 0; 78°; 74°; 171°; 83%; 0%; 0%; 0%; 87.2%; 410°; 77°; 74°; 0%; -0°; 29°; 28°; 40°; 40°; 127°; 127°; 11040; 16908h; 40°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.28A; 
2025-01-09; 00:42:28; übergangsbetr.;   Brenner Aus  ; 1; 0; 78°; 74°; 172°; 83%; 0%; 0%; 0%; 87.2%; 410°; 77°; 74°; 0%; -0°; 29°; 28°; 40°; 38°; 127°; 127°; 11040; 16908h; 40°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.25A; 
2025-01-09; 00:43:28; übergangsbetr.;   Brenner Aus  ; 1; 0; 78°; 73°; 173°; 83%; 0%; 0%; 0%; 87.2%; 410°; 77°; 74°; 99%; -0°; 29°; 28°; 40°; 39°; 127°; 127°; 11040; 16908h; 40°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.57A; 
2025-01-09; 00:44:28; übergangsbetr.;   Brenner Aus  ; 1; 0; 77°; 73°; 179°; 83%; 0%; 0%; 0%; 87.2%; 410°; 77°; 74°; 0%; -0°; 29°; 28°; 40°; 41°; 127°; 127°; 11040; 16908h; 40°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.30A; 
2025-01-09; 00:45:28; übergangsbetr.;   Brenner Aus  ; 1; 0; 78°; 73°; 179°; 83%; 0%; 0%; 0%; 87.2%; 410°; 77°; 74°; 0%; -0°; 29°; 28°; 40°; 39°; 127°; 127°; 11040; 16908h; 40°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.30A; 
2025-01-09; 00:46:28; übergangsbetr.;   Brenner Aus  ; 1; 0; 78°; 73°; 180°; 83%; 0%; 0%; 0%; 87.2%; 410°; 77°; 74°; 0%; -0°; 29°; 28°; 40°; 38°; 127°; 127°; 11040; 16908h; 40°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.25A; 
2025-01-09; 00:47:28; übergangsbetr.;   Brenner Aus  ; 1; 0; 78°; 72°; 182°; 82%; 0%; 0%; 0%; 87.2%; 410°; 77°; 74°; 0%; -0°; 29°; 30°; 40°; 38°; 127°; 127°; 11040; 16908h; 40°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.30A; 
2025-01-09; 00:48:28; übergangsbetr.;   Brenner Aus  ; 1; 0; 77°; 72°; 185°; 82%; 0%; 0%; 0%; 87.2%; 410°; 77°; 72°; 95%; -0°; 29°; 29°; 40°; 40°; 127°; 127°; 11040; 16908h; 40°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.55A; 
2025-01-09; 00:49:28; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 72°; 190°; 82%; 0%; 0%; 0%; 87.2%; 410°; 77°; 74°; 0%; -0°; 29°; 28°; 40°; 41°; 127°; 127°; 11040; 16908h; 40°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.28A; 
2025-01-09; 00:50:28; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 72°; 192°; 82%; 0%; 0%; 0%; 87.2%; 410°; 77°; 74°; 0%; -0°; 29°; 28°; 40°; 39°; 127°; 127°; 11040; 16908h; 40°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.21A; 
2025-01-09; 00:51:28; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 71°; 194°; 81%; 0%; 0%; 0%; 87.2%; 409°; 77°; 74°; 0%; -0°; 29°; 28°; 40°; 38°; 127°; 127°; 11040; 16908h; 40°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.25A; 
2025-01-09; 00:52:29; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 71°; 196°; 81%; 0%; 0%; 0%; 87.2%; 409°; 77°; 74°; 0%; -0°; 29°; 28°; 40°; 38°; 127°; 127°; 11040; 16908h; 40°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.23A; 
2025-01-09; 00:53:29; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 71°; 198°; 81%; 0%; 0%; 0%; 87.2%; 409°; 77°; 72°; 0%; -0°; 29°; 28°; 40°; 38°; 127°; 127°; 11040; 16908h; 40°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.28A; 
2025-01-09; 00:54:29; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 71°; 200°; 81%; 0%; 0%; 0%; 87.2%; 409°; 77°; 72°; 0%; -0°; 29°; 28°; 40°; 40°; 127°; 127°; 11040; 16908h; 40°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.25A; 
2025-01-09; 00:55:29; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 71°; 202°; 81%; 0%; 0%; 0%; 87.2%; 409°; 77°; 72°; 0%; -0°; 29°; 28°; 40°; 40°; 127°; 127°; 11040; 16908h; 40°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.25A; 
2025-01-09; 00:56:29; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 70°; 204°; 81%; 0%; 0%; 0%; 87.2%; 409°; 77°; 72°; 0%; -0°; 29°; 28°; 40°; 41°; 127°; 127°; 11040; 16908h; 40°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.28A; 
2025-01-09; 00:57:29; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 70°; 207°; 81%; 0%; 0%; 0%; 87.2%; 409°; 77°; 72°; 0%; -0°; 29°; 28°; 40°; 40°; 127°; 127°; 11040; 16908h; 40°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.30A; 
2025-01-09; 00:58:29; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 70°; 209°; 81%; 0%; 0%; 0%; 87.2%; 409°; 77°; 72°; 0%; -0°; 29°; 28°; 40°; 41°; 127°; 127°; 11040; 16908h; 40°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.23A; 
2025-01-09; 00:59:29; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 70°; 211°; 81%; 0%; 0%; 0%; 87.2%; 409°; 77°; 71°; 0%; -0°; 29°; 28°; 40°; 41°; 127°; 127°; 11040; 16908h; 40°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.23A; 
2025-01-09; 01:00:29; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 70°; 213°; 81%; 0%; 0%; 0%; 87.2%; 409°; 77°; 70°; 0%; -0°; 29°; 29°; 40°; 41°; 127°; 127°; 11040; 16908h; 40°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.23A; 
2025-01-09; 01:01:29; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 70°; 215°; 81%; 0%; 0%; 0%; 87.2%; 409°; 77°; 70°; 0%; -0°; 29°; 28°; 40°; 41°; 127°; 127°; 11040; 16908h; 40°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.25A; 
2025-01-09; 01:02:29; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 69°; 217°; 80%; 0%; 0%; 0%; 87.2%; 409°; 77°; 70°; 0%; -0°; 29°; 28°; 40°; 41°; 127°; 127°; 11040; 16908h; 40°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.23A; 
2025-01-09; 01:03:29; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 69°; 219°; 80%; 0%; 0%; 0%; 87.2%; 409°; 77°; 70°; 0%; 0°; 29°; 28°; 40°; 41°; 127°; 127°; 11040; 16908h; 40°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.28A; 
2025-01-09; 01:04:28; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 69°; 221°; 80%; 0%; 0%; 0%; 87.2%; 409°; 77°; 69°; 0%; -0°; 29°; 28°; 40°; 41°; 127°; 127°; 11040; 16908h; 40°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.28A; 
2025-01-09; 01:05:28; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 69°; 228°; 80%; 0%; 0%; 0%; 87.2%; 409°; 77°; 69°; 0%; 0°; 29°; 28°; 40°; 40°; 127°; 127°; 11040; 16908h; 40°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.25A; 
2025-01-09; 01:06:28; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 69°; 230°; 80%; 0%; 0%; 0%; 87.2%; 409°; 77°; 68°; 0%; -0°; 29°; 28°; 40°; 40°; 127°; 127°; 11040; 16908h; 40°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.23A; 
2025-01-09; 01:07:28; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 68°; 229°; 78%; 0%; 0%; 0%; 87.2%; 408°; 77°; 68°; 0%; -0°; 29°; 28°; 40°; 41°; 127°; 127°; 11040; 16908h; 39°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.28A; 
2025-01-09; 01:08:28; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 68°; 236°; 80%; 0%; 0%; 0%; 87.2%; 408°; 77°; 68°; 0%; -0°; 29°; 29°; 40°; 40°; 127°; 127°; 11040; 16908h; 39°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.23A; 
2025-01-09; 01:09:28; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 67°; 238°; 79%; 0%; 0%; 0%; 87.2%; 408°; 76°; 67°; 0%; 0°; 29°; 29°; 40°; 41°; 127°; 127°; 11040; 16908h; 39°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.23A; 
2025-01-09; 01:10:28; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 67°; 241°; 79%; 0%; 0%; 0%; 87.2%; 408°; 76°; 67°; 0%; 0°; 29°; 29°; 40°; 41°; 127°; 127°; 11040; 16908h; 39°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.23A; 
2025-01-09; 01:11:28; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 67°; 244°; 79%; 0%; 0%; 0%; 87.2%; 408°; 76°; 66°; 0%; 0°; 29°; 30°; 40°; 41°; 127°; 127°; 11040; 16908h; 39°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.25A; 
2025-01-09; 01:12:28; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 67°; 246°; 79%; 0%; 0%; 0%; 87.2%; 408°; 76°; 66°; 0%; -0°; 29°; 30°; 40°; 41°; 127°; 127°; 11040; 16908h; 39°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.28A; 
2025-01-09; 01:13:28; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 67°; 249°; 79%; 0%; 0%; 0%; 87.2%; 408°; 76°; 66°; 0%; 0°; 29°; 28°; 40°; 41°; 127°; 127°; 11040; 16908h; 39°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.25A; 
2025-01-09; 01:14:28; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 67°; 250°; 79%; 0%; 0%; 0%; 87.2%; 408°; 76°; 66°; 0%; 0°; 29°; 28°; 40°; 41°; 127°; 127°; 11040; 16908h; 39°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.19A; 
2025-01-09; 01:15:28; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 67°; 250°; 79%; 0%; 0%; 0%; 87.2%; 408°; 76°; 64°; 0%; 0°; 29°; 28°; 40°; 41°; 127°; 127°; 11040; 16908h; 39°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.21A; 
2025-01-09; 01:16:28; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 67°; 250°; 79%; 0%; 0%; 0%; 87.2%; 408°; 76°; 64°; 0%; 0°; 29°; 28°; 40°; 41°; 127°; 127°; 11040; 16908h; 39°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.28A; 
2025-01-09; 01:17:28; übergangsbetr.;   Brenner Aus  ; 1; 0; 75°; 67°; 250°; 79%; 0%; 0%; 0%; 87.2%; 408°; 76°; 64°; 0%; 0°; 29°; 28°; 40°; 41°; 127°; 127°; 11040; 16908h; 39°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.28A; 
2025-01-09; 01:18:28; übergangsbetr.;   Brenner Aus  ; 1; 0; 75°; 67°; 250°; 79%; 0%; 0%; 0%; 87.2%; 408°; 76°; 64°; 0%; 0°; 29°; 28°; 40°; 41°; 127°; 127°; 11040; 16908h; 39°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.19A; 
2025-01-09; 01:19:28; übergangsbetr.;   Brenner Aus  ; 1; 0; 75°; 67°; 250°; 79%; 0%; 0%; 0%; 87.2%; 408°; 76°; 64°; 0%; 0°; 29°; 28°; 40°; 41°; 127°; 127°; 11040; 16908h; 39°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.21A; 
