Date;  Time; Betriebsart; Status; Zustand; ROST; Kesseltemp; Abgastemp.; Abgas. SW ; KessStellGr; Saugzug  ; Zuluftgebl; Einschub; Fuellst.:; Feuerraumt; Puffert.ob; Puffert.un; Puffer Pu.; Außentemp; Vorlauft.1sw; Vorlauft.1; Vorlauft.2sw; Vorlauft.2; KTY6_H2; KTY7_H2; Brenn.ST; Laufzeit:; Boardtemp.; Die Kesseltemp. soll sein; Heizungsraum-Temp; Heizungsraum-Feuchtigkeit; Ventilator; Zuluftklappe; Leckwassersensor; Stromstaerke; ; 
2024-10-22; 00:59:39; übergangsbetr.;    Heizen      ; 1; 0; 78°; 153°; 162°; 99%; 38%; 64%; 94%; 93.1%; 425°; 64°; 28°; 64%; 8°; 26°; 34°; 30°; 32°; 127°; 127°; 10914; 16698h; 36°; 80°; 28°; 15%; AUS; OFFEN; TROCKEN; 2.44A; 
2024-10-22; 01:00:39; übergangsbetr.;    Heizen      ; 1; 0; 77°; 153°; 164°; 100%; 39%; 65%; 95%; 92.9%; 426°; 64°; 28°; 59%; 8°; 26°; 34°; 30°; 32°; 127°; 127°; 10914; 16698h; 36°; 80°; 28°; 15%; AUS; OFFEN; TROCKEN; 2.52A; 
2024-10-22; 01:01:39; übergangsbetr.;    Heizen      ; 1; 0; 77°; 153°; 164°; 100%; 39%; 65%; 95%; 92.8%; 426°; 66°; 28°; 59%; 8°; 26°; 34°; 30°; 32°; 127°; 127°; 10914; 16698h; 36°; 80°; 28°; 14%; AUS; OFFEN; TROCKEN; 2.93A; 
2024-10-22; 01:02:40; übergangsbetr.;    Heizen      ; 1; 0; 78°; 155°; 163°; 98%; 39%; 65%; 95%; 92.6%; 426°; 66°; 28°; 64%; 8°; 26°; 34°; 30°; 32°; 127°; 127°; 10914; 16698h; 36°; 80°; 28°; 14%; AUS; OFFEN; TROCKEN; 2.69A; 
2024-10-22; 01:03:40; übergangsbetr.;    Heizen      ; 1; 0; 77°; 155°; 166°; 100%; 39%; 65%; 95%; 92.4%; 427°; 66°; 28°; 60%; 8°; 26°; 34°; 30°; 32°; 127°; 127°; 10914; 16698h; 37°; 80°; 28°; 15%; AUS; OFFEN; TROCKEN; 2.65A; 
2024-10-22; 01:04:40; übergangsbetr.;    Heizen      ; 1; 0; 77°; 156°; 166°; 100%; 39%; 65%; 95%; 92.3%; 428°; 67°; 28°; 60%; 8°; 26°; 34°; 30°; 31°; 127°; 127°; 10914; 16698h; 37°; 80°; 28°; 14%; AUS; OFFEN; TROCKEN; 2.97A; 
2024-10-22; 01:05:40; übergangsbetr.;    Heizen      ; 1; 0; 77°; 156°; 167°; 100%; 39%; 65%; 95%; 92.1%; 428°; 68°; 29°; 60%; 8°; 26°; 34°; 30°; 31°; 127°; 127°; 10914; 16698h; 37°; 80°; 28°; 15%; AUS; OFFEN; TROCKEN; 3.14A; 
2024-10-22; 01:06:40; übergangsbetr.;    Heizen      ; 1; 0; 77°; 156°; 167°; 100%; 39%; 65%; 95%; 92.0%; 428°; 68°; 29°; 60%; 8°; 26°; 34°; 30°; 31°; 127°; 127°; 10914; 16698h; 37°; 80°; 28°; 14%; AUS; OFFEN; TROCKEN; 2.35A; 
2024-10-22; 01:07:40; übergangsbetr.;    Heizen      ; 1; 0; 77°; 155°; 167°; 100%; 39%; 65%; 95%; 91.8%; 428°; 69°; 29°; 60%; 8°; 26°; 34°; 30°; 30°; 127°; 127°; 10914; 16698h; 37°; 80°; 28°; 14%; AUS; OFFEN; TROCKEN; 3.05A; 
2024-10-22; 01:08:40; übergangsbetr.;    Heizen      ; 1; 0; 77°; 157°; 168°; 99%; 38%; 64%; 94%; 91.6%; 428°; 69°; 30°; 60%; 8°; 26°; 34°; 30°; 30°; 127°; 127°; 10914; 16698h; 37°; 80°; 28°; 15%; AUS; OFFEN; TROCKEN; 2.46A; 
2024-10-22; 01:09:40; übergangsbetr.;    Heizen      ; 1; 0; 77°; 157°; 169°; 100%; 39%; 65%; 95%; 91.5%; 429°; 70°; 30°; 61%; 8°; 26°; 34°; 30°; 30°; 127°; 127°; 10914; 16698h; 37°; 80°; 28°; 14%; AUS; OFFEN; TROCKEN; 3.01A; 
2024-10-22; 01:10:40; übergangsbetr.;    Heizen      ; 1; 0; 77°; 156°; 169°; 100%; 39%; 65%; 95%; 91.3%; 429°; 70°; 30°; 61%; 8°; 26°; 34°; 30°; 30°; 127°; 127°; 10914; 16698h; 37°; 80°; 28°; 15%; AUS; OFFEN; TROCKEN; 2.74A; 
