Date;  Time; Betriebsart; Status; Zustand; ROST; Kesseltemp; Abgastemp.; Abgas. SW ; KessStellGr; Saugzug  ; Zuluftgebl; Einschub; Fuellst.:; Feuerraumt; Puffert.ob; Puffert.un; Puffer Pu.; Außentemp; Vorlauft.1sw; Vorlauft.1; Vorlauft.2sw; Vorlauft.2; KTY6_H2; KTY7_H2; Brenn.ST; Laufzeit:; Boardtemp.; Die Kesseltemp. soll sein; Heizungsraum-Temp; Heizungsraum-Feuchtigkeit; Ventilator; Zuluftklappe; Leckwassersensor; Stromstaerke; ; 
2025-01-05; 00:28:33; übergangsbetr.;   Brenner Aus  ; 1; 0; 79°; 78°; 156°; 86%; 0%; 0%; 0%; 75.5%; 411°; 78°; 75°; 0%; -4°; 31°; 30°; 44°; 43°; 127°; 127°; 11033; 16896h; 41°; 80°; 31°; 12%; AN; ZU; TROCKEN; 0.21A; 
2025-01-05; 00:29:33; übergangsbetr.;   Brenner Aus  ; 1; 0; 79°; 77°; 157°; 85%; 0%; 0%; 0%; 75.5%; 411°; 78°; 75°; 0%; -4°; 31°; 30°; 44°; 43°; 127°; 127°; 11033; 16896h; 41°; 80°; 31°; 12%; AN; ZU; TROCKEN; 0.30A; 
2025-01-05; 00:30:33; übergangsbetr.;   Brenner Aus  ; 1; 0; 78°; 77°; 164°; 85%; 0%; 0%; 0%; 75.5%; 411°; 78°; 74°; 0%; -4°; 31°; 30°; 44°; 44°; 127°; 127°; 11033; 16896h; 41°; 80°; 31°; 12%; AN; ZU; TROCKEN; 0.28A; 
2025-01-05; 00:31:33; übergangsbetr.;   Brenner Aus  ; 1; 0; 77°; 76°; 167°; 85%; 0%; 0%; 0%; 75.5%; 411°; 78°; 74°; 0%; -4°; 31°; 30°; 44°; 44°; 127°; 127°; 11033; 16896h; 41°; 80°; 31°; 12%; AN; ZU; TROCKEN; 0.23A; 
2025-01-05; 00:32:33; übergangsbetr.;   Brenner Aus  ; 1; 0; 78°; 76°; 167°; 85%; 0%; 0%; 0%; 75.5%; 411°; 78°; 74°; 0%; -4°; 31°; 31°; 44°; 43°; 127°; 127°; 11033; 16896h; 41°; 80°; 31°; 12%; AN; ZU; TROCKEN; 0.28A; 
2025-01-05; 00:33:33; übergangsbetr.;   Brenner Aus  ; 1; 0; 78°; 76°; 168°; 85%; 0%; 0%; 0%; 75.5%; 411°; 78°; 74°; 0%; -4°; 31°; 33°; 44°; 42°; 127°; 127°; 11033; 16896h; 41°; 80°; 31°; 12%; AN; ZU; TROCKEN; 0.25A; 
2025-01-05; 00:34:34; übergangsbetr.;   Brenner Aus  ; 1; 0; 78°; 75°; 170°; 84%; 0%; 0%; 0%; 75.5%; 411°; 78°; 74°; 0%; -4°; 31°; 31°; 44°; 44°; 127°; 127°; 11033; 16896h; 41°; 80°; 31°; 12%; AN; ZU; TROCKEN; 0.28A; 
2025-01-05; 00:35:34; übergangsbetr.;   Brenner Aus  ; 1; 0; 77°; 75°; 173°; 84%; 0%; 0%; 0%; 75.5%; 411°; 78°; 74°; 0%; -4°; 31°; 31°; 44°; 43°; 127°; 127°; 11033; 16896h; 41°; 80°; 31°; 12%; AN; ZU; TROCKEN; 0.25A; 
2025-01-05; 00:36:34; übergangsbetr.;   Brenner Aus  ; 1; 0; 78°; 75°; 173°; 84%; 0%; 0%; 0%; 75.5%; 411°; 78°; 72°; 0%; -4°; 31°; 30°; 44°; 44°; 127°; 127°; 11033; 16896h; 41°; 80°; 31°; 12%; AN; ZU; TROCKEN; 0.30A; 
2025-01-05; 00:37:34; übergangsbetr.;   Brenner Aus  ; 1; 0; 78°; 75°; 174°; 84%; 0%; 0%; 0%; 75.5%; 410°; 78°; 72°; 0%; -4°; 31°; 30°; 44°; 44°; 127°; 127°; 11033; 16896h; 41°; 80°; 31°; 12%; AN; ZU; TROCKEN; 0.21A; 
