Date;  Time; Betriebsart; Status; Zustand; ROST; Kesseltemp; Abgastemp.; Abgas. SW ; KessStellGr; Saugzug  ; Zuluftgebl; Einschub; Fuellst.:; Feuerraumt; Puffert.ob; Puffert.un; Puffer Pu.; Außentemp; Vorlauft.1sw; Vorlauft.1; Vorlauft.2sw; Vorlauft.2; KTY6_H2; KTY7_H2; Brenn.ST; Laufzeit:; Boardtemp.; Die Kesseltemp. soll sein; Heizungsraum-Temp; Heizungsraum-Feuchtigkeit; Ventilator; Zuluftklappe; Leckwassersensor; Stromstaerke; ; 
2025-04-21; 00:37:14; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 77°; 250°; 85%; 0%; 0%; 0%; 83.3%; 410°; 74°; 72°; 0%; 8°; 0°; 26°; 0°; 32°; 127°; 127°; 11191; 17159h; 38°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.15A; 
2025-04-21; 00:38:13; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 77°; 250°; 85%; 0%; 0%; 0%; 83.3%; 410°; 74°; 72°; 0%; 8°; 0°; 26°; 0°; 32°; 127°; 127°; 11191; 17159h; 38°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.19A; 
2025-04-21; 00:39:13; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 76°; 250°; 85%; 0%; 0%; 0%; 83.3%; 410°; 74°; 72°; 0%; 8°; 0°; 26°; 0°; 32°; 127°; 127°; 11191; 17159h; 38°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.38A; 
2025-04-21; 00:40:13; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 76°; 250°; 85%; 0%; 0%; 0%; 83.3%; 410°; 74°; 72°; 0%; 8°; 0°; 26°; 0°; 32°; 127°; 127°; 11191; 17159h; 38°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.19A; 
2025-04-21; 00:41:13; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 76°; 250°; 85%; 0%; 0%; 0%; 83.3%; 410°; 74°; 72°; 0%; 8°; 0°; 27°; 0°; 32°; 127°; 127°; 11191; 17159h; 38°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.17A; 
2025-04-21; 00:42:13; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 75°; 250°; 84%; 0%; 0%; 0%; 83.3%; 410°; 72°; 72°; 0%; 8°; 0°; 27°; 0°; 32°; 127°; 127°; 11191; 17159h; 38°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.17A; 
2025-04-21; 00:43:13; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 75°; 250°; 84%; 0%; 0%; 0%; 83.3%; 410°; 72°; 72°; 0%; 8°; 0°; 27°; 0°; 32°; 127°; 127°; 11191; 17159h; 38°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.15A; 
2025-04-21; 00:44:13; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 75°; 250°; 84%; 0%; 0%; 0%; 83.3%; 410°; 72°; 72°; 0%; 8°; 0°; 27°; 0°; 32°; 127°; 127°; 11191; 17159h; 38°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.17A; 
2025-04-21; 00:45:13; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 75°; 250°; 84%; 0%; 0%; 0%; 83.3%; 410°; 72°; 72°; 0%; 8°; 0°; 27°; 0°; 32°; 127°; 127°; 11191; 17159h; 38°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.17A; 
2025-04-21; 00:46:13; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 74°; 250°; 83%; 0%; 0%; 0%; 83.3%; 410°; 72°; 72°; 0%; 8°; 0°; 27°; 0°; 32°; 127°; 127°; 11191; 17159h; 38°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.17A; 
